1월,26228,35785,587,587,21846,13939,-1060,-1060,39,7,7,24
2월,24116,30797,-4988,-4401,17288,13509,-430,-1490,37,-5,1,21
3월,30346,30209,-588,-4989,17725,12484,-1025,-2515,33,-10,-8,19
4월,38247,33432,3223,-1766,21500,11932,-552,-3067,32,-3,-12,20
5월,36857,36969,3537,1771,25730,11239,-693,-3760,31,-2,-14,22
6월,37205,37349,380,2151,26572,10777,-462,-4222,29,-5,-19,21
7월,36721,35116,-2233,-82,26408,8708,-2069,-6291,28,-4,-23,21
8월,31248,31711,-3405,-3487,23488,8223,-485,-6776,27,-4,-26,20
9월,30668,27863,-3848,-7335,20205,7658,-565,-7341,25,-6,-31,18
10월,35200,27951,88,-7247,20702,7249,-409,-7750,25,2,-30,19
11월,39769,32656,4705,-2542,26616,6040,-1209,-8959,27,7,-24,22
12월,28635,0,-32656,-35198,0,0,-6040,-14999,0,-100,-100,0
