"user_seq_key:STRING(1)","no_seq:DECIMAL(10)","rw_tag:STRING(1)","level1:DECIMAL(1)","title_name:STRING(100)","pgrm_id:STRING(60)"
3368,10000000,"",1,"인사관리","                                        "
3370,30000000,"",2,"인사기본","                                        "
1663,30000100,"U",3,"신규사번등록","/general/p_web/02/p_pers_empno_new_1h.html"
1660,30000200,"U",3,"인사기본사항","/general/p_web/02/p_pers_master_1h.html"
2196,30000300,"R",3,"사진등록","/general/p_web/02/p_pers_picture_1h.html"
2449,30000400,"S",3,"개인정보관리","/general/p_web/02/p_pers_master_emp_1h.html"
2454,30000500,"U",3,"제증명서신청","/general/p_web/02/p_pers_cer_req_1h.html"
2455,30000600,"S",3,"제증명서발급","/general/p_web/02/p_pers_cer_issue_1h.html"
3178,30000700,"",3,"직원조회","/general/p_web/08/p_pers_master_dept_1h.html"
3371,40000000,"",2,"발령관리","                                        "
2441,40000300,"R",3,"조직도조회","/general/p_web/08/p_dept_title_empno_1h.html"
3372,50000000,"",2,"정원관리","                                        "
2487,50000010,"U",3,"TO/PO관리","/general/p_web/12/p_to_po_manage_1h.html"
2497,50000110,"R",3,"조직별 TO/PO현황","/general/p_web/12/p_to_po_dept_title_1h.html"
3373,60000000,"",2,"인원현황","                                        "
2458,60000010,"R",3,"부서/직위별 인원현황","/general/p_web/11/p_person_dept_grade_1h.html"
2471,60000020,"R",3,"직위/학력별 인원현황","/general/p_web/11/p_person_grade_schoolcar_1h.html"
2472,60000120,"R",3,"직위/연령별 인원현황","/general/p_web/11/p_person_grade_age_1h.html"
2473,60000220,"R",3,"직위별 입사현황","/general/p_web/11/p_person_grade_join_1h.html"
2474,60000320,"R",3,"직위별 퇴사현황","/general/p_web/11/p_person_grade_retire_1h.html"
3374,70000000,"",2,"채용관리","                                        "
1759,70000100,"U",3,"채용차수 관리","/general/p_web/03/p_emp_degree_1h.html"
1762,70000200,"U",3,"면접관 등록","/general/p_web/03/p_emp_inter_staff_1h.html"
1764,70000300,"S",3,"면접결과 등록","/general/p_web/03/p_emp_result_staff_1h.html"
1765,70000400,"S",3,"합격자 관리","/general/p_web/03/p_emp_pass_1h.html"
1766,70000500,"S",3,"합격승인 등록","/general/p_web/03/p_emp_result_pass_1h.html"
3377,100000000,"",2,"교육관리","                                        "
1786,100000100,"U",3,"강사등록","/general/p_web/07/p_edu_instructor_1h.html"
1883,100000200,"U",3,"교육과정등록","/general/p_web/07/p_edu_curriculum_1h.html"
2197,100000300,"R",3,"과정별강사현황","/general/p_web/07/p_edu_subject_instructor_1h.html"
2446,100000350,"U",3,"교육신청","/general/p_web/07/p_edu_application_1h.html"
2447,100000370,"S",3,"교육접수","/general/p_web/07/p_edu_receipt_1h.html"
2205,100000400,"S",3,"교육대상자관리","/general/p_web/07/p_edu_emp_1h.html"
3378,110000000,"",2,"조건검색","                                        "
1633,110000010,"U",3,"조건항목등록","/general/p_web/05/p_cond_item_1h.html"
2419,110000020,"U",3,"조건검색","/general/p_web/05/p_cond_item_result_1h.html"
3379,120000000,"",2,"평가관리","                                        "
3385,180000000,"",2,"출력물","                                        "
2890,180000005,"U",3,"TEST","/general/p_web/temp/p_test_1h.html"
2501,180000010,"P",3,"입사명부","/general/p_web/01r/p_pers_join_list_1h.html"
2512,180000110,"P",3,"보증만기현황","/general/p_web/01r/p_pers_guarantee_1h.html"
2513,180000210,"P",3,"근속년수별 인원현황","/general/p_web/01r/p_pers_long_service_1h.html"
2514,180000310,"P",3,"자격면허현황","/general/p_web/01r/p_pers_license_1h.html"
2515,180000400,"P",3,"생일자현황","/general/p_web/01r/p_pers_birthday_1h.html"
2516,180000410,"P",3,"결혼기념일현황","/general/p_web/01r/p_pers_married_1h.html"
3493,280000000,"",2,"도움말","                                        "
3468,280000100,"",3,"개인정보관리","/general/p_web/menu/emp_master.html"
3477,280000200,"",3,"MBO목표수립","/general/p_web/menu/mbo_setup.html"
3478,280000300,"",3,"MBO자기평가","/general/p_web/menu/mbo_self_eval.html"
3479,280000400,"",3,"MBO 1차목표합의","/general/p_web/menu/mbo_fir_setup.html"
3480,280000500,"",3,"MBO 1차평가","/general/p_web/menu/mbo_fir_eval.html"
3481,280000600,"",3,"MBO 2차목표합의","/general/p_web/menu/mbo_sec_setup.html"
3482,280000700,"",3,"MBO 2차평가","/general/p_web/menu/mbo_sec_eval.html"
