"user_seq_key:STRING(1)","no_seq:DECIMAL(18)","rw_tag:STRING(1)","level1:DECIMAL(1)","title_name:STRING(100)","pgrm_id:STRING(60)"
"",10000000,"",1,"자금수지분석","                                        "
"",20000000,"",2,"수지분석(프로젝트)","                                        "
"",20000010,"U",3,"수지분석 차수(현장)","/const/r_web/02/r_a_cash_degree_1h.html"
"",20000020,"U",3,"수지분석 차수(본사)","/const/r_web/02/r_a_cash_degree_bonsa_1h.html"
"",20000120,"S",3,"수지분석 확정(재무팀)","/const/r_web/02/r_a_cash_degree_confirm_1h.html"
"",20000220,"S",3,"수지분석 승인(기획실)","/const/r_web/02/r_a_cash_degree_approve_1h.html"
"",30000000,"",2,"수지분석(조회)","                                        "
"",30000005,"R",3,"현금흐름/수지분석표","/const/r_web/03/r_a_proj_cash_anly_1h.html"
"",30000010,"R",3,"수입/지출(현장)","/const/r_web/03/r_a_cash_suip_1h.html"
"",30000020,"R",3,"수입/지출(자금계획종합)","/const/r_web/03/r_a_cash_suip_jichul_1h.html"
"",40000000,"",2,"기초코드","                                        "
"",40000010,"U",3,"수지분석분류 등록","/const/r_web/99/r_a_code_cash_1h.html"
